時間軸（月次）,356 アイスクリーム・シャーベット【円】
2007年9月,721
2007年10月,349
2007年11月,256
2007年12月,282
2008年1月,240
2008年2月,152
2008年3月,278
2008年4月,418
2008年5月,585
2008年6月,648
2008年7月,1548
2008年8月,1092
2008年9月,659
2008年10月,396
2008年11月,314
2008年12月,301
2009年1月,326
2009年2月,246
2009年3月,268
2009年4月,398
2009年5月,615
2009年6月,591
2009年7月,890
2009年8月,1151
2009年9月,650
2009年10月,583
2009年11月,269
2009年12月,405
2010年1月,327
2010年2月,323
2010年3月,340
2010年4月,385
2010年5月,541
2010年6月,639
2010年7月,1111
2010年8月,1347
2010年9月,910
2010年10月,470
2010年11月,269
2010年12月,324
2011年1月,238
2011年2月,166
2011年3月,243
2011年4月,276
2011年5月,511
2011年6月,714
2011年7月,1001
2011年8月,1042
2011年9月,585
2011年10月,494
2011年11月,429
2011年12月,479
2012年1月,276
2012年2月,262
2012年3月,299
2012年4月,501
2012年5月,582
2012年6月,653
2012年7月,1093
2012年8月,1356
2012年9月,724
2012年10月,389
2012年11月,328
2012年12月,504
2013年1月,339
2013年2月,376
2013年3月,372
2013年4月,466
2013年5月,631
2013年6月,732
2013年7月,1027
2013年8月,1261
2013年9月,623
2013年10月,372
2013年11月,184
2013年12月,345
2014年1月,282
2014年2月,198
2014年3月,384
2014年4月,411
2014年5月,617
2014年6月,613
2014年7月,862
2014年8月,746
2014年9月,459
2014年10月,368
2014年11月,243
2014年12月,405
2015年1月,294
2015年2月,420
2015年3月,582
2015年4月,587
2015年5月,934
2015年6月,788
2015年7月,833
2015年8月,1338
2015年9月,598
2015年10月,528
2015年11月,384
2015年12月,446
2016年1月,365
2016年2月,223
2016年3月,299
2016年4月,368
2016年5月,670
2016年6月,582
2016年7月,1045
2016年8月,1394
2016年9月,684
2016年10月,535
2016年11月,393
2016年12月,464
2017年1月,402
2017年2月,305
2017年3月,497
2017年4月,581
2017年5月,799
2017年6月,935
2017年7月,1259
2017年8月,1310
2017年9月,807
2017年10月,679
2017年11月,399
2017年12月,433
2018年1月,362
2018年2月,347
2018年3月,427
2018年4月,615
2018年5月,654
2018年6月,854
2018年7月,1105
2018年8月,1306
2018年9月,922
2018年10月,709
2018年11月,544
2018年12月,525
2019年1月,486
2019年2月,494
2019年3月,346
2019年4月,570
2019年5月,1081
2019年6月,957
2019年7月,1370
2019年8月,1858
2019年9月,1310
2019年10月,922
2019年11月,540
2019年12月,503
2020年1月,320
2020年2月,333
2020年3月,400
2020年4月,371
2020年5月,641
2020年6月,776
2020年7月,1070
2020年8月,1531
2020年9月,918
2020年10月,590
2020年11月,476
2020年12月,532
2021年1月,458
2021年2月,444
2021年3月,492
2021年4月,644
2021年5月,712
2021年6月,934
2021年7月,1441
2021年8月,1336
2021年9月,1156
2021年10月,945
2021年11月,842
2021年12月,828
2022年1月,519
2022年2月,611
2022年3月,724
2022年4月,1039
2022年5月,984
2022年6月,1079
2022年7月,1291
2022年8月,1252
2022年9月,855
2022年10月,406
2022年11月,343
2022年12月,451
2023年1月,390
2023年2月,480
2023年3月,535
2023年4月,778
2023年5月,1087
2023年6月,1222
2023年7月,1716
2023年8月,1892
2023年9月,1210
2023年10月,578
2023年11月,332
2023年12月,541
2024年1月,379
2024年2月,535
2024年3月,563
2024年4月,885
2024年5月,1030
2024年6月,968
2024年7月,1580
2024年8月,1451
2024年9月,839