年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),平均風速(m/s),最大風速(m/s),最大風向,最大瞬間風速(m/s),最大瞬間風向,最多風向(16方位),平均湿度(％),平均現地気圧(hPa),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2023/8/1,30.2,33.8,28.2,0,0,12.3,0,3.3,7.6,南西,11.5,南西,西南西,68,1009.2,晴,晴一時曇
2023/8/2,30,33.5,27.6,0,1,12.1,0,3,6.2,南西,11.8,南西,南西,67,1008.1,晴後一時曇,晴時々曇
2023/8/3,29.7,33.1,27.5,0,1,10.7,0,3.5,7.4,西南西,11.7,南西,西南西,68,1006.8,晴,晴時々曇
2023/8/4,29.9,33.6,28.1,0,1,11.9,0,3.4,8.4,南西,11.8,南西,西南西,71,1004.4,晴,晴
2023/8/5,30.6,36,27.8,0,1,13.2,0,3.5,8.4,南西,13,南西,西南西,70,1000,晴,晴一時曇、雷を伴う
2023/8/6,31.5,37,27.5,2,0,10.9,0,5.7,9.2,東北東,12.4,東北東,東北東,66,996.5,晴,曇後晴時々雨
2023/8/7,29.9,34.2,27,0.5,0,1.6,0,7.1,10.1,東北東,12.3,東北東,東北東,70,998.4,曇時々雨,曇後時々晴一時雨
2023/8/8,31.1,35.4,28.3,0,0,6.6,0,8.2,10.6,東,12.5,東北東,東北東,67,1000.7,晴後時々曇,晴一時雨
2023/8/9,30.7,36.7,28.5,3,0,5.9,0,6.1,9.5,東北東,12.1,北東,東北東,71,1002.7,晴後曇一時雨,曇時々雨一時晴
2023/8/10,31.4,35.1,28.8,0,1,10.5,0,6.9,9.4,東南東,12.5,東南東,東北東,64,1002.4,晴一時曇,晴一時曇
2023/8/11,30.3,34.7,27.8,0,1,11.4,0,5,8.4,北東,11.6,南西,南西,67,1002.5,晴一時曇,晴
2023/8/12,30.9,35.1,27.4,0,1,12.8,0,3.4,6.6,東北東,9.5,南南西,南南西,63,1000.3,晴,晴
2023/8/13,31.5,36.8,27.8,2,0,9.1,0,3.4,9.2,東南東,12.2,東,東北東,60,999.1,晴後雨時々曇、雷を伴う,曇時々雨、雷を伴う
2023/8/14,30.3,33.4,27.6,4,0,0.5,0,5.3,14.7,北北西,20,北北西,北北東,67,996.6,曇時々雨,雨時々曇、大風を伴う
2023/8/15,26.7,30,25.2,115,0,0,0,11.8,22.5,北北東,35.7,北北東,北北東,88,988.8,暴風雨,雨後時々曇
2023/8/16,28.8,31.4,26.7,0.5,0,7.1,0,4.6,6.8,南西,10.7,南西,南西,82,1000.1,曇一時雨後晴,曇時々晴後雨、雷を伴う
2023/8/17,27.6,28.7,26.5,1.5,0,0,0,2.1,4.8,西南西,6.9,西南西,西南西,83,1003.6,雨時々曇,曇時々晴後雨
2023/8/18,28.5,32.6,25,5,0,2.3,0,3.3,6.4,東北東,7.5,東北東,西南西,78,1006.4,曇一時雨,曇時々晴
2023/8/19,29.6,33.2,27.7,0,1,9.5,0,2.7,5.7,南西,8.6,南西,南西,77,1008.4,晴時々曇,晴
2023/8/20,30.3,36.2,27.5,0,0,12.2,0,2.8,7.5,南西,10.8,南南西,南西,78,1008.1,晴、雷を伴う,曇一時雨後晴、雷を伴う
2023/8/21,30.2,36.2,27.8,0,0,8.9,0,2.6,7.5,南西,10.9,南南西,南西,77,1006.7,晴時々曇、雷を伴う,曇後時々晴、雷を伴う
2023/8/22,30.2,34.3,28.1,0.5,0,5.1,0,3.1,7.6,北東,8.8,北東,東北東,73,1005.5,曇時々晴後雨、雷を伴う,曇時々晴一時雨、雷を伴う
2023/8/23,29.8,35.3,25.3,48.5,0,5.2,0,4.5,9.7,東,11.2,東,東北東,77,1005.6,晴後曇一時雨、雷を伴う,曇時々大雨、雷を伴う
2023/8/24,28,32,26.4,5.5,0,2.9,0,2.9,6.5,東南東,9,南南西,東北東,84,1008,曇後雨一時晴、雷を伴う,晴時々曇
2023/8/25,28.7,32.7,26.4,0,1,9.6,0,3.7,7,南西,10.3,南西,西南西,77,1007.3,晴時々曇、雷を伴う,晴一時曇、雷を伴う
2023/8/26,29.2,34.5,25.9,12,0,10.4,0,3,7.6,南南西,13,南,西南西,74,1006,晴、雷を伴う,雨後曇時々晴、雷を伴う
2023/8/27,29.2,34.1,26.3,0,1,12.5,0,4.2,7.2,北東,10.5,南西,南西,70,1004.6,晴、雷を伴う,曇時々晴、雷を伴う
2023/8/28,28.9,32.7,26.9,0,1,10.4,0,2.9,6.8,南西,10.1,南西,西南西,77,1005.9,晴時々曇,曇時々晴
2023/8/29,29.4,33.2,26.9,0,1,12.1,0,3.1,7.2,南西,11.4,南西,南西,71,1009.4,晴,曇時々晴
2023/8/30,29.6,32.9,27.5,0,0,1.4,0,3.1,7.2,北東,8.5,北東,南西,70,1010.5,曇後時々雨,曇後時々雨
2023/8/31,29.4,32.2,28.1,0,0,1.9,0,3.4,6.1,西南西,9.7,南西,東北東,68,1011.3,曇一時雨,曇後時々晴
2023/9/1,29.1,32.9,27,0,1,8.5,0,3.7,6.9,南西,10.5,南西,南西,68,1010.8,曇時々晴,曇時々晴
2023/9/2,29,31.4,26.7,0,1,3.8,0,1.9,4.8,南南西,6.9,南西,西,62,1009.5,曇一時晴,曇後時々晴
2023/9/3,31.1,35.8,26.9,0,1,11.5,0,3.1,7.2,北東,9.3,北東,東南東,57,1007.9,晴,晴時々曇
2023/9/4,31,35.3,28.5,0,0,3.3,0,4.3,8.7,北東,11.7,北東,北東,61,1004.7,曇一時晴,曇時々雨一時晴
2023/9/5,29.1,32.1,26.1,0.5,0,9.1,0,4.3,8.9,北東,11.7,北東,西南西,73,1005.1,晴一時雨,晴後曇一時雨
2023/9/6,28.2,30.9,27.1,0,0,0.3,0,2.7,7.2,東南東,10.6,東南東,東南東,72,1003.6,曇時々雨,晴時々曇
2023/9/7,27.9,32.4,25,3,0,4.2,0,5.4,8.7,東北東,11.8,東北東,東北東,63,1005.5,晴後曇一時雨,曇時々雨、雷を伴う
2023/9/8,27.5,30.5,26.2,0,0,3.9,0,2.8,7.8,北,10.8,北,北東,67,1004.9,曇時々雨一時晴,曇時々晴
2023/9/9,27.3,30.7,24.6,0,1,8.8,0,2.2,4.4,南南西,6.3,南南西,南南西,67,1006.2,晴時々曇,曇時々晴
2023/9/10,27.5,32.9,23.9,23,0,8.6,0,3.3,9,南南西,14.3,南南西,東北東,73,1007.2,晴後曇一時雨、雷を伴う,曇時々雨一時晴、雷を伴う
2023/9/11,26.3,28.7,24.4,1,0,2.7,0,3.4,6.5,南西,10.8,南南西,東北東,80,1007.5,雨時々晴後曇、雷を伴う,曇後時々晴
2023/9/12,27.5,31.4,24.6,0,1,7.8,0,3.2,5.9,東北東,7.3,南南西,東北東,74,1008.5,晴時々曇、雷を伴う,曇時々晴
2023/9/13,27.9,31.3,25.4,0,1,11.7,0,3.7,5.8,南西,8.2,南西,南西,73,1009.5,晴,晴時々曇
2023/9/14,28.3,31.8,26.1,0,1,4.6,0,2.7,5,南西,7.5,南南西,南西,75,1009.7,曇,曇後時々晴一時雨
2023/9/15,29,32.6,27.2,0,0,7.3,0,2.8,5.3,南西,7.5,南西,南西,77,1010.7,曇時々晴一時雨,晴時々曇
2023/9/16,28.9,32.5,27.1,0,1,9.4,0,2.7,5.4,南西,7.7,南西,西南西,75,1011.2,晴一時曇,晴
2023/9/17,28.8,32.6,26.5,0,1,8.4,0,2.9,5.5,西南西,8.9,南西,西南西,73,1010.6,晴後時々曇,晴時々曇
2023/9/18,28.9,31.6,27.5,0,0,8.1,0,3.1,5.5,南西,9,南西,南西,73,1011.4,晴時々曇一時雨,晴時々曇一時雨
2023/9/19,28.5,31.5,26.8,0,0,9,0,3.4,6.1,南西,10.1,南西,南西,76,1011.3,晴一時雨,曇時々晴一時雨
2023/9/20,28.3,31.5,26.5,1,0,2.5,0,2.7,5.5,南西,8.2,南西,南西,77,1009.9,曇、雷を伴う,曇
2023/9/21,28.2,30.3,26.4,0.5,0,1,0,4.7,9.7,南南西,15.4,南西,南南西,80,1006,曇時々雨、雷を伴う,曇時々雨、雷を伴う
2023/9/22,26.5,29.4,24,2.5,0,0.8,0,2.7,5.2,東北東,6.5,東北東,東北東,74,1008.5,曇時々雨,曇時々雨
2023/9/23,25.1,30.1,23.3,0,0,3.6,0,3.6,9,北北西,13.2,北北東,北,58,1012.1,曇一時雨後時々晴,曇
2023/9/24,26.1,31.1,22.3,0,1,7.6,0,5.3,8.3,東北東,11,東北東,東北東,51,1013.4,晴時々曇,曇時々晴
2023/9/25,26.9,31.3,23.9,0,1,8.1,0,4.9,9.1,北東,11.1,東北東,北東,56,1013.1,晴一時曇,晴後時々曇
2023/9/26,26.8,30.4,24.5,0,1,7.4,0,3.8,6.4,北東,7.5,北東,南西,64,1011.2,晴時々曇,曇時々晴
2023/9/27,27.3,30.1,25.7,0,1,7,0,3.5,5.9,南西,8.4,南南西,南南西,76,1008.2,晴時々曇,晴時々曇
2023/9/28,27.7,31.3,25.9,0.5,0,4.4,0,4,7.3,西,11.1,西,西南西,71,1007.6,晴時々雨後曇,晴時々曇
2023/9/29,26.6,29.8,23.6,0,1,11.4,0,3.1,6.2,北,7.4,南西,北北西,57,1009.5,晴,晴後時々曇
2023/9/30,26.4,29.3,23.4,0,1,6.7,0,4.1,6.7,北東,8.3,南南西,南西,65,1006.6,晴後時々曇,曇一時晴後雨、雷を伴う