年月,平均気温(℃),最高気温(℃),最低気温(℃),日降水量の最大(mm),平均蒸気圧(hPa),平均湿度(％)
2007年9月,24.8,34.7,16.4,20,22,70
2007年10月,17.5,28.3,8.4,38.5,13,65
2007年11月,11.2,19.4,0.3,31,8.8,66
2007年12月,7.5,16,0.8,28,7.3,70
2008年1月,3.8,12.8,-1.8,27.5,5.5,68
2008年2月,2.4,13.1,-2.8,28.5,5.1,71
2008年3月,8.2,19.7,-0.5,20,7.1,66
2008年4月,13,25.1,5.1,26.5,9.4,64
2008年5月,17.5,28.8,8.7,17.5,12.6,63
2008年6月,20.6,29.8,12.1,65.5,17,70
2008年7月,26.8,35,17.6,40.5,24.4,69
2008年8月,26.6,35.5,18.7,40,24.1,70
2008年9月,22.9,32,12.5,58.5,19.7,69
2008年10月,17.9,26.8,7.9,44.5,13.7,67
2008年11月,11.2,23,2,36.5,8.8,66
2008年12月,7.6,19,-0.6,44.5,6.8,65
2009年1月,4,14.3,-2,43,5.7,69
2009年2月,5.4,20.1,-1.9,28.5,5.9,65
2009年3月,7.3,23.6,0.1,47.5,6.3,62
2009年4月,12.5,27.4,3.9,33.5,8.8,61
2009年5月,17.6,29.2,8.7,28.5,12.5,63
2009年6月,21.7,32.4,14.1,89.5,16.9,66
2009年7月,24.9,34.9,18.6,99.5,22.8,73
2009年8月,25.5,34.4,17.4,26,23.4,72
2009年9月,22.1,29.8,14.8,30.5,18.3,69
2009年10月,17.3,26.6,10.4,57,13,66
2009年11月,12.1,25.6,4.2,54.5,9.6,67
2009年12月,6.7,17.3,-0.4,56.5,6.9,69
2010年1月,4.4,16,-1.8,27,5.7,69
2010年2月,4.8,22.2,-2,30.5,6.2,71
2010年3月,6.8,24.9,-0.8,35.5,6.7,68
2010年4月,10.7,23.2,1.5,38,8.2,64
2010年5月,16.5,31.6,6.7,26.5,12,65
2010年6月,21.9,32.9,12.2,51,18.9,72
2010年7月,26.5,34,20.9,48,24.3,71
2010年8月,29.3,35.5,24.5,27.5,26.9,67
2010年9月,24.5,34.3,13.2,75,21.3,69
2010年10月,18,27,5.4,47.5,14.5,70
2010年11月,11.3,20.2,3.4,66.5,9.1,68
2010年12月,7,19.1,-0.7,47,7.1,70
2011年1月,1.5,7.6,-4,31.5,5.2,76
2011年2月,4.5,19.1,-3.3,33,5.6,66
2011年3月,5.4,19.5,-1.5,17.5,6,67
2011年4月,11.5,28,0.9,30,7.9,59
2011年5月,17.4,29.3,9.4,65,13.3,68
2011年6月,22.7,34.2,15.1,36.5,20.4,74
2011年7月,27.2,35.8,20.2,51,26.1,73
2011年8月,27.5,34.6,20.1,60.5,27,74
2011年9月,23.8,33.3,14.1,125.5,21.8,73
2011年10月,17.5,27.3,7.1,24.5,13.9,69
2011年11月,13.3,26,3.9,55,11.4,73
2011年12月,5.3,15.3,-0.3,58.5,7,78
2012年1月,2.9,11.3,-2.3,38.5,5.9,78
2012年2月,2.6,10.8,-3.2,34.5,5.5,74
2012年3月,7,21.6,-0.8,47,6.8,68
2012年4月,12.7,26.3,0.6,22,9.6,65
2012年5月,17.1,26.2,6.4,28,13.4,70
2012年6月,21.3,31.2,16,47.5,18.6,74
2012年7月,26.8,36.8,20.1,122,25.6,74
2012年8月,28.9,35.9,21.5,53.5,26.6,67
2012年9月,25.2,36.1,16.9,85,22.2,70
2012年10月,18.1,27.6,9.6,64,13.7,66
2012年11月,10.5,17.8,1.2,73.5,9.1,71
2012年12月,4.7,17.2,-3.9,42.5,6.4,75
2013年1月,3,11.8,-3.8,24.5,5.8,76
2013年2月,3.1,16,-4,34,5.5,72
2013年3月,8.3,22.2,-1.5,28,6.8,61
2013年4月,11.4,27.5,2.7,41,8.6,65
2013年5月,17.2,28.2,5.4,34.5,12.9,66
2013年6月,22.9,31.7,15.5,91.5,20.1,73
2013年7月,27.2,35.1,20.5,117,25.1,70
2013年8月,28.2,35.4,20.9,134.5,26.5,70
2013年9月,23,31.9,13.5,104.5,20.4,73
2013年10月,18.9,32.9,9.6,86,16,72
2013年11月,10.9,22.2,0.8,99.5,9.2,71
2013年12月,6.3,15.4,0.1,50,6.9,72
2014年1月,3.9,15.1,-2.3,23.5,5.6,70
2014年2月,3.5,17.7,-3.1,24,5.6,69
2014年3月,7.4,22.7,-1,75,7,67
2014年4月,12.4,22.5,2.6,34.5,8.8,61
2014年5月,18,30,7.3,26.5,12.4,61
2014年6月,22.7,33.7,17.2,62,19.8,73
2014年7月,26.1,35,20,22,25,75
2014年8月,26.5,37.3,20.5,88.5,26,76
2014年9月,22.5,32.3,14.5,28.5,18.7,69
2014年10月,17.2,27.9,7.7,63.5,13.7,69
2014年11月,12.3,23.2,3.8,26,10.4,72
2014年12月,4.7,17.2,-1,98,6.6,76
2015年1月,3.9,14.7,-1.2,22,6,75
2015年2月,4.8,18.2,-2.3,25.5,6,70
2015年3月,7.7,22.9,-0.5,43.5,7.1,68
2015年4月,13.3,27,1.6,54,10.2,68
2015年5月,19.5,28.8,8.7,50,13.3,60
2015年6月,21.7,30.4,13.7,25,19,74
2015年7月,26.1,37.4,18.7,44,24.6,74
2015年8月,27,35.4,20.3,59.5,25.7,73
2015年9月,21.5,29.4,13.4,42,19.6,77
2015年10月,17.1,28.9,7.7,31,12.6,65
2015年11月,13.4,23.2,3.2,30.5,11.7,75
2015年12月,8,17.6,0.4,72.5,7.9,73
2016年1月,5,15.9,-4,33,6.4,74
2016年2月,4.9,19.2,-1.8,34,6.2,71
2016年3月,8.3,22.4,-1.3,13.5,6.9,63
2016年4月,14.1,28.1,2.9,52.5,10.1,64
2016年5月,19.4,31.3,10.9,24,14.2,64
2016年6月,22.4,30.3,11.9,44,19.2,71
2016年7月,26.2,37,20.3,39,25.1,74
2016年8月,27.5,34.1,20.3,65.5,26,71
2016年9月,23.8,32.7,15.2,93,22.7,78
2016年10月,18,32.2,7.8,43,14.5,68
2016年11月,11.4,20.9,3,28.5,9.4,69
2016年12月,7.9,23.6,0.3,54,7.5,70
2017年1月,4.5,13.7,-2.3,39,5.8,69
2017年2月,4.4,15.4,-1,24.5,5.6,68
2017年3月,7.2,17.1,-0.2,33,6.3,63
2017年4月,13.6,27.5,2.3,46.5,9.3,60
2017年5月,18.9,29.2,8.2,10.5,13.4,62
2017年6月,20.3,30.4,10.9,23.5,16.4,69
2017年7月,27.2,35.5,20.3,110.5,26.6,74
2017年8月,27.3,36.1,20.3,149.5,26.2,73
2017年9月,22.4,31.1,12.6,41,18.8,70
2017年10月,17.1,27.6,9,82,14.6,74
2017年11月,10.9,22.6,2.1,49.5,9,68
2017年12月,5.6,14.7,0,40.5,6.4,71
2018年1月,2.8,13.3,-4.3,47,5.7,75
2018年2月,3,12,-2.2,52,5.3,71
2018年3月,8.7,22.7,-0.5,40.5,7,63
2018年4月,14.1,28.1,2.6,35,10.5,66
2018年5月,18.4,31.8,6.9,44.5,13.5,65
2018年6月,22.4,33.2,13.3,30,18.2,68
2018年7月,28.3,36.5,21.2,91.5,25.8,68
2018年8月,28.2,36.9,17.8,117.5,25.4,67
2018年9月,22.6,34.3,15.8,80,20.6,76
2018年10月,17.8,32.2,9.6,24.5,13.7,67
2018年11月,12.9,26.4,4.3,20.5,10.4,69
2018年12月,7.3,24.7,-0.3,23.5,7.6,73
2019年1月,4.4,13.1,-0.8,18.5,5.8,71
2019年2月,5.4,18.5,-1.5,16,6.2,69
2019年3月,8.5,23.6,0.4,24.5,6.8,62
2019年4月,12,23.9,1.3,28,8.6,61
2019年5月,19.2,31.3,7.7,39,11.6,54
2019年6月,21.8,31.8,15.7,52.5,18.4,71
2019年7月,25.9,35.8,20.8,30.5,24.5,74
2019年8月,28.2,37.7,20.9,96,26.9,71
2019年9月,24.6,34.1,16.1,16,21.5,70
2019年10月,18.7,30.5,10.2,99,15.7,73
2019年11月,12.1,23.6,1.8,30,9.2,65
2019年12月,8.3,20.1,0.1,39,7.3,66
2020年1月,6.7,17.2,-0.6,25,7.1,72
2020年2月,6.3,18.1,-3.7,31,6.6,68
2020年3月,9,23,0.1,31,7.2,63
2020年4月,11.2,21.8,4.4,41,8,61
2020年5月,18.5,29.4,10.1,9.5,13.9,66
2020年6月,23.2,31.3,16.4,90,19.8,70
2020年7月,24.3,33.1,19.6,99.5,24.5,81
2020年8月,28.9,37.3,23.2,46,27.3,69
2020年9月,24.8,36.3,15.9,55,22.5,72
2020年10月,17.5,26.9,6.9,57.5,13.4,67
2020年11月,13,27.1,5.1,39.5,10,67
2020年12月,7,14.5,-1,47.5,7.3,73
2021年1月,3.9,16.2,-2,44.5,6.1,76
2021年2月,6.6,19.6,-1.3,39,6.1,63
2021年3月,9.7,22.2,0,33.5,7.7,64
2021年4月,12.9,23.2,2.3,78,9,61
2021年5月,18,30.5,8.4,94.5,13.8,67
2021年6月,22.5,31.4,14.8,63,18.7,69
2021年7月,27,33.6,22.6,39,26.3,75
2021年8月,27.1,36.2,20.6,71.5,26.3,74
2021年9月,23.4,30,18.5,49.5,20.7,73
2021年10月,18.3,30.7,8,27,14.6,68
2021年11月,12.3,23,2.6,111,9.6,67
2021年12月,7,16.9,-1.4,46,7.3,72
2022年1月,3.4,10.6,-1.2,32.5,5.5,71
2022年2月,3.3,12.8,-1.5,28,5.5,72
2022年3月,8.9,25.1,0.1,33,7.3,64
2022年4月,13.8,25.1,0.9,38.5,10.3,63
2022年5月,18.5,29.7,6.4,27.5,12.4,59
2022年6月,23.4,35.4,14,36.5,19.9,70
2022年7月,27.3,35.4,21.6,35,26.9,75
2022年8月,27.9,36.7,18.9,112.5,27.3,73
2022年9月,24.5,38.5,15.3,89.5,23.5,76
2022年10月,17.2,30.7,7.9,46.5,14,71
2022年11月,13.6,24.6,6.5,35,11.2,72
2022年12月,6.1,15.8,-1.9,56.5,7.3,77
2023年1月,4.3,17.5,-5.1,27.5,6.4,76
2023年2月,4.9,16.1,-2.1,24.5,6.3,72
2023年3月,10.5,23.9,1.9,27.5,8.2,65
2023年4月,13.9,26.3,6,49,10.1,63
2023年5月,18.4,30,8.2,102,13.8,66
2023年6月,22.9,33.3,15,80.5,20.4,73
2023年7月,28,36.3,21.2,66.5,26.3,70
2023年8月,30.5,38.3,25.4,18,28.8,67
2023年9月,26.6,35.5,18.2,33,25.5,74
2023年10月,17.8,27.1,9.4,41.5,13.7,68
2023年11月,13.2,27.7,2.3,44.5,10.8,71
2023年12月,7.7,23.8,-0.3,44.5,8,75
2024年1月,5.4,13.8,-1.1,44.5,6.7,74
2024年2月,6.2,21.8,-0.1,46.5,6.9,72
2024年3月,7.4,21,-0.5,47,7.2,69
2024年4月,15.1,26.1,3.7,47.5,11.7,69
2024年5月,18,31.7,8,92.5,13.5,67
2024年6月,23.3,30.8,14.5,115,19.8,70
2024年7月,27.9,35.8,21.6,77,27.8,75
2024年8月,29,36.5,22.3,57,29.6,75
2024年9月,26.8,34.6,18.3,29,26.3,75